"displayPrice","hasImage","imageUrl","inStock","manufacturerStock","name","price","productUrl","sku","stockQty","stockText"
"£545.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=cfed10f7-0332-44cb-afed-520abc0c8dc2","True","False","SAM4S SAPPHIRE [WHITE] + ELLIX40SW[WHITE] + DRAWER","545","https://ycr.dearportal.com/Product/bb307987-e842-40c1-af68-5c3b59669be1","SP-SAM4SSAPPHIREWHBUNDLE3","6","6 in stock"
"£530.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=ffd90df5-1747-4dad-8231-6ffc444aa3ac","True","False","SAM4S SAPPHIRE [WHITE] + HCUBE + DRAWER","530","https://ycr.dearportal.com/Product/7dd7ed18-5177-4ee5-b04e-cfb7b002ed1e","SP-SAM4SSAPPHIREWHBUNDLE1","6","6 in stock"
"£543.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=beca5975-57c5-495a-b4e7-4bd6c5ffd088","True","False","SAM4S SAPPHIRE [WHITE] + HPRT TP80R + DRAWER","543","https://ycr.dearportal.com/Product/67691c9f-5068-4b1e-8f90-9eb06da2e3df","SP-SAM4SSAPPHIREWHBUNDLE2","6","6 in stock"
"£555.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=47ab0b12-36c4-4bba-8f0d-0fa15f737c5d","True","False","SAM4S SAPPHIRE [WHITE] + SAM4S GIANT + DRAWER","555","https://ycr.dearportal.com/Product/7d64c365-c052-4d9c-905d-372c2cc73fe7","SP-SAM4SSAPPHIREWHBUNDLE4","6","6 in stock"
"£530.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=1baaced7-bcca-4098-a574-ccea15d3531e","True","False","SAM4S SAPPHIRE + HCUBE + DRAWER","530","https://ycr.dearportal.com/Product/f1615efe-f50c-4b26-84e7-02a0c7bc5028","SP-SAM4SSAPPHIREBUNDLE1","444","444 in stock"
"£530.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=b121169f-7225-4ba6-84a3-72aa6ec71555","True","False","SAM4S SAPPHIRE + HPRT TP80R + DRAWER","530","https://ycr.dearportal.com/Product/d95de075-1e7e-4393-aaef-fe99139a8da7","SP-SAM4SSAPPHIREBUNDLE2","401","401 in stock"
"£555.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=906210b1-1eb4-4dd0-9a8a-c37692cdc5cc","True","False","SAM4S SAPPHIRE + SAM4S GIANT + DRAWER","555","https://ycr.dearportal.com/Product/d849486c-a720-4f26-80d9-028148ebdc8b","SP-SAM4SSAPPHIREBUNDLE4","444","444 in stock"
"£530.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=b2350401-43fd-4ee8-a64a-aa84146d9187","False","False","SAM4S SAPPHIRE 15.6"" + HCUBE + DRAWER","530","https://ycr.dearportal.com/Product/04109892-b5a0-4c2e-bb81-9861f1bb5604","SP-SAM4SSAPPHIREWIDEBUNDLE1",,"Out of stock"
"£545.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=38c3979e-ddd5-4407-a221-ce3a30be161a","False","False","SAM4S SAPPHIRE 15.6"" + SAM4S ELLIX40SB + DRAWER","545","https://ycr.dearportal.com/Product/51132167-ab2d-4045-8ea6-b2a8ef210b33","SP-SAM4SSAPPHIREWIDEBUNDLE3",,"Out of stock"
"£555.00","True","https://prodcdn-fch9gyh8ejf9hget.z01.azurefd.net/Product/GetImage?size=400&id=40a20b1e-6aea-4d13-9ad9-20f510e349b2","False","False","SAM4S SAPPHIRE 15.6"" + SAM4S GIANT + DRAWER","555","https://ycr.dearportal.com/Product/86e76757-e2c7-44ab-a27d-3df2c68edc80","SP-SAM4SSAPPHIREWIDEBUNDLE4",,"Out of stock"
